accuracy,club_id,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,place,postcode,status,type,lat,lng
ROOFTOP,28354,"Markgrafendamm 24c, 10245 Berlin, Germany",ChIJE3PM7_lOqEcRx7NIgXOdQVA,Markgrafendamm 24c; Friedrichshain; 10245,52.50255900000001,13.4663169,1, ://about blank,10245,OK,street_address,52.50255900000001,13.4663169
ROOFTOP,142467,"Skalitzer Str. 41, 10997 Berlin, Germany",ChIJxRLajEpOqEcRgSuyC2cQILo,"Skalitzer Strasse 41, 10997",52.4990937,13.4288184,1, :Vorwien,10997,OK,street_address,52.4990937,13.4288184
ROOFTOP,45446,"Frankfurter Allee 187, 10365 Berlin, Germany",ChIJGdvwWJNOqEcR9jTzPww1EOg,"187 Frankfurter Allee, Friedrichshain, 10247",52.5126711,13.4877049,1, [F.U.C] Ministerium,10365,OK,premise,52.5126711,13.4877049
ROOFTOP,90981,"Vor dem Schlesischen Tor 2, 10997 Berlin, Germany",ChIJeUvOfVROqEcR3sMDhUfpjBU,Vor dem Schlesischen Tor 2a; Kreuzberg; 10997,52.4973043,13.4501604,1, [ipsə],10997,OK,street_address,52.4973043,13.4501604
ROOFTOP,136975,"Alt-Stralau 1, 10245 Berlin, Germany",ChIJIZI7HPxOqEcRTfbLQ0t63Tw,"Alt-Stralau 1, 10245",52.49715,13.46502,1, 1 Stralau,10245,OK,street_address,52.49715,13.46502
ROOFTOP,138531,"Altenbraker Str. 3, 12053 Berlin, Germany",ChIJpTcRrZlPqEcRfSfwKQLxefU,"Altenbraker strasse 3, 12053, Berlín",52.47193559999999,13.4320904,1, 19:28 Tattoo Club,12053,OK,premise,52.47193559999999,13.4320904
ROOFTOP,41940,"nhow Berlin, Stralauer Allee 3, 10245 Berlin, Germany",ChIJQUmQNVFOqEcRzqNBfDUFdBs,"Stralauer Allee 3, 10245",52.50119189999999,13.4508457,1, 1st Floor,10245,OK,premise,52.50119189999999,13.4508457
ROOFTOP,141849,"Alt-Stralau 1, 10245 Berlin, Germany",ChIJIZI7HPxOqEcRTfbLQ0t63Tw,Alt Stralau 1,52.49715,13.46502,1, 1stralau,10245,OK,street_address,52.49715,13.46502
ROOFTOP,144924,"Budapester Str. 40, 10787 Berlin, Germany",ChIJ-RAVYVVQqEcR7BN7HG1zkwk,"Budapester Straße 40, 10787",52.50561949999999,13.3379602,1," 25hours Hotel Bikini Berlin, 3. Etage",10787,OK,street_address,52.50561949999999,13.3379602
GEOMETRIC_CENTER,88929,"Waldemarstraße, 10997 Berlin, Germany",EiZXYWxkZW1hcnN0cmHDn2UsIDEwOTk3IEJlcmxpbiwgR2VybWFueSJIKkYKFAoSCc32ZBw0TqhHEbttNOJgYIQFEhQKEgmnTxmqTk6oRxGQ0z2VSSAhHBoYCgoNjfZKHxUci_8HEgoNEnFLHxXXNgEI,"Waldemarstraße, 10997",52.5022904,13.4241162,1, 60 Hz,10997,OK,route,52.5022904,13.4241162
ROOFTOP,153709,"Budapester Str. 38, 10787 Berlin, Germany",ChIJO2UEZVVQqEcRs6YRTG4XSoc,"Budapester Straße 38-40, 10787",52.505429,13.3382338,1, 808 Berlin,10787,OK,street_address,52.505429,13.3382338
ROOFTOP,154724,"Alexanderstraße 7, 10178 Berlin, Germany",ChIJzUBDKBlOqEcRiZcv2MLSNQo,"Alexanderstr. 7, 10178 -Mitte",52.5230361,13.4166955,1, A Seven,10178,OK,street_address,52.5230361,13.4166955
ROOFTOP,111027,"Veteranenstraße 21, 10119 Berlin, Germany",ChIJbZnT2_pRqEcRmGbapIsAjV4,Veteranenstraße 21,52.533432,13.4009334,1, Acud Macht NEU,10119,OK,street_address,52.533432,13.4009334
ROOFTOP,113971,"Pannierstraße 56, 12047 Berlin, Germany",ChIJPU_BwLBPqEcRKDWSulyeXdE,Pannierstrasse 56 12047,52.4872162,13.4305756,1, AETHER:bar,12047,OK,premise,52.4872162,13.4305756
